Standard,Subject,File Name,File Path,language
1,English,Mridang.pdf,merged_pdfs\1\English,n/a
1,Hindi,Sarangi.pdf,merged_pdfs\1\Hindi,n/a
1,Mathematics,Anadmay-Ganit.pdf,merged_pdfs\1\Mathematics,n/a
1,Mathematics,Joyful-Mathematics.pdf,merged_pdfs\1\Mathematics,n/a
2,English,Mridang.pdf,merged_pdfs\2\English,n/a
2,Hindi,Sarangi.pdf,merged_pdfs\2\Hindi,n/a
2,Mathematics,Aanadmay-Ganit.pdf,merged_pdfs\2\Mathematics,n/a
2,Mathematics,Joyful-Mathematics.pdf,merged_pdfs\2\Mathematics,n/a
4,English,Marigold.pdf,merged_pdfs\4\English,n/a
4,Environmental Studies,Aas Paas.pdf,merged_pdfs\4\Environmental Studies,n/a
4,Environmental Studies,Aas-Paas(Urdu).pdf,merged_pdfs\4\Environmental Studies,n/a
4,Environmental Studies,Looking Around(EVS).pdf,merged_pdfs\4\Environmental Studies,n/a
4,Hindi,Rimjhim.pdf,merged_pdfs\4\Hindi,n/a
4,Mathematics,Ganit Ka Jadu.pdf,merged_pdfs\4\Mathematics,n/a
4,Mathematics,Math-Magic.pdf,merged_pdfs\4\Mathematics,n/a
4,Mathematics,Riyazi Ka Jadu(Urdu).pdf,merged_pdfs\4\Mathematics,n/a
4,Urdu,Ibtedai Urdu-IV.pdf,merged_pdfs\4\Urdu,n/a
5,English,Marigold.pdf,merged_pdfs\5\English,n/a
5,Environmental Studies,Aas-Pass.pdf,merged_pdfs\5\Environmental Studies,n/a
5,Environmental Studies,Ass Pass(Urdu).pdf,merged_pdfs\5\Environmental Studies,n/a
5,Environmental Studies,Looking Around.pdf,merged_pdfs\5\Environmental Studies,n/a
5,Mathematics,Ganit.pdf,merged_pdfs\5\Mathematics,n/a
5,Mathematics,Math-Magic.pdf,merged_pdfs\5\Mathematics,n/a
5,Mathematics,Riyazi Ka Jadoo(Urdu).pdf,merged_pdfs\5\Mathematics,n/a
5,Urdu,Ibtedai Urdu Class-V.pdf,merged_pdfs\5\Urdu,n/a
6,Mathematics,fecu1dd.pdf,merged_pdfs\6\Mathematics,n/a
